,Year,Annualized Mean,Annualized Standard Deviation
0,1926,0.20697563152516363,0.08319067255407904
1,1927,0.33508110950678116,0.12413627043037677
2,1928,0.40499883045600904,0.162194392347858
3,1929,-0.10957770173630721,0.29953389700423794
4,1930,-0.26472196447097307,0.255822182562242
5,1931,-0.3838348508988434,0.4298773736353616
6,1932,0.0804203407357118,0.6307219816859233
7,1933,0.7653109602608739,0.5364794531353122
8,1934,0.055251693851599004,0.22156135821606043
9,1935,0.46486410862330874,0.14708484564421248
10,1936,0.33495078405214174,0.14435564667609208
11,1937,-0.3318896296948667,0.21391700174685424
12,1938,0.38168719440031906,0.3978947359655452
13,1939,0.06379253168582166,0.2804110878368011
14,1940,-0.04081592112876786,0.24948578389085893
15,1941,-0.09709090825000943,0.13535207625099271
16,1942,0.17574604988235487,0.1424479873178596
17,1943,0.2965023016074355,0.15234208813778882
18,1944,0.2165156348130579,0.08110590159000312
19,1945,0.3965545619715001,0.1234757650126313
20,1946,-0.04772316796034659,0.1904193649434178
21,1947,0.03949748431031885,0.10243951652294414
22,1948,0.03587676201850565,0.1908369580177135
23,1949,0.20816436983297515,0.10268283028999364
24,1950,0.30732787309826803,0.1080492648580435
25,1951,0.21484116065361292,0.12019506872353185
26,1952,0.14141458748238733,0.11274242566777842
27,1953,0.01115664573261177,0.08641933180192327
28,1954,0.5106307246137025,0.11582624525947947
29,1955,0.2583304794771548,0.09686658115911051
30,1956,0.09315567679395587,0.13746437555037505
31,1957,-0.09362444214978782,0.1235083029965634
32,1958,0.4524256242712459,0.06239588418827289
33,1959,0.13051225412816803,0.07778685913793829
34,1960,0.020489943690935597,0.1334066749045598
35,1961,0.27397315341787265,0.09257018958606492
36,1962,-0.08398252372979675,0.20586165698881814
37,1963,0.2144826197511709,0.09516158029181926
38,1964,0.16144255910746397,0.03976014450312135
39,1965,0.14843348840566906,0.08818967162779427
40,1966,-0.08195043671363944,0.112344340796904
41,1967,0.29510736669329307,0.12060120608472749
42,1968,0.15013754283072944,0.1410575221158182
43,1969,-0.10054521765153002,0.147466788248621
44,1970,0.022529342370458005,0.21833118088228842
45,1971,0.17250218842630405,0.143214943354386
46,1972,0.17146126227177927,0.06963872355365094
47,1973,-0.1818163967648354,0.1654683820388217
48,1974,-0.25858829340697276,0.23896842507289154
49,1975,0.4041796024475053,0.19034980956123912
50,1976,0.28098250202621067,0.14215496026263988
51,1977,-0.027253522938709418,0.09536334344352272
52,1978,0.09913852768425047,0.1822542754206082
53,1979,0.24702027219472034,0.14711645356346417
54,1980,0.35820091342922633,0.19917203847199763
55,1981,-0.025497090901877684,0.13931746611116771
56,1982,0.2319235060878424,0.1945963841577554
57,1983,0.23156034637345813,0.10659269546865173
58,1984,0.04729527132081923,0.14255750673771173
59,1985,0.33586330718567403,0.1284045984733059
60,1986,0.17888184830612341,0.1738441595745506
61,1987,0.06548708685149207,0.3083515703042404
62,1988,0.18412522018583632,0.09877410407775732
63,1989,0.2961217282898774,0.1141262936798129
64,1990,-0.045521658652006414,0.19004597290703587
65,1991,0.36244373409412156,0.1569557059694347
66,1992,0.10012039239960502,0.07612012038398734
67,1993,0.11328897951182126,0.06667715978026985
68,1994,0.00280359612961556,0.10196890791715962
69,1995,0.3700313657720009,0.054490866624183405
70,1996,0.21819222440400043,0.10998745382997098
71,1997,0.3254684629854905,0.15100170679348446
72,1998,0.27497233167071844,0.23012941023377573
73,1999,0.26389682210955545,0.143887718219956
74,2000,-0.10244897684145615,0.18764413126980553
75,2001,-0.09499423875150703,0.21150813438043203
76,2002,-0.19625789268460625,0.19961673048847658
77,2003,0.32559793961705896,0.11636159941398974
78,2004,0.12270398124468573,0.08193440280881019
79,2005,0.06421593871455888,0.08709969209840161
80,2006,0.15640559164472623,0.06496676073193122
81,2007,0.06136093647062402,0.09673334951861692
82,2008,-0.35198992878209745,0.21796347275299466
83,2009,0.31232257663406715,0.2213868908823317
84,2010,0.19550038188679597,0.1973589876342093
85,2011,0.0175394378907352,0.16765012268520305
86,2012,0.16949737932768993,0.10846760722990907
87,2013,0.3563484907700891,0.0872890027437592
88,2014,0.12103722511981885,0.0885123514750137
89,2015,0.009037217969309452,0.13468925853102157
90,2016,0.14152748285833194,0.11364312161723247
91,2017,0.22383627871108058,0.038088258749192694
92,2018,-0.040141939595927156,0.15788258871130098
93,2019,0.31540492842644063,0.13916115902728815
94,2020,0.2843746247699812,0.2757254415009777
95,2021,0.2415221124705791,0.10176405420025642
96,2022,-0.23369917216503222,0.21933769951508889
